movement_id,product_id,movement_type,quantity,movement_date,reference_id,warehouse_location,notes
64,151,Adjustment,5,2023-07-01 00:00:00,,Warehouse_D,Adjustment transaction
65,224,Return,4,2024-09-11 00:00:00,,Warehouse_D,Return transaction
66,337,Purchase,317,2023-04-24 00:00:00,,Warehouse_B,Purchase transaction
67,457,Adjustment,-5,2024-01-27 00:00:00,,Warehouse_C,Adjustment transaction
68,74,Adjustment,6,2023-08-23 00:00:00,,Warehouse_B,Adjustment transaction
69,368,Adjustment,10,2023-07-06 00:00:00,,Warehouse_C,Adjustment transaction
70,8,Sale,-14,2023-04-09 00:00:00,5284.0,Warehouse_C,Sale transaction
71,441,Adjustment,6,2024-05-12 00:00:00,,Warehouse_D,Adjustment transaction
72,469,Return,3,2023-09-07 00:00:00,,Warehouse_C,Return transaction
73,216,Adjustment,7,2024-06-08 00:00:00,,Warehouse_C,Adjustment transaction
74,370,Purchase,422,2024-06-10 00:00:00,,Warehouse_D,Purchase transaction
75,378,Purchase,344,2024-11-12 00:00:00,,Warehouse_C,Purchase transaction
76,157,Sale,-8,2023-10-01 00:00:00,6686.0,Warehouse_B,Sale transaction
77,147,Sale,-1,2023-04-07 00:00:00,4840.0,Warehouse_C,Sale transaction
78,410,Return,1,2024-12-28 00:00:00,,Warehouse_A,Return transaction
79,91,Adjustment,-7,2024-01-26 00:00:00,,Warehouse_A,Adjustment transaction
80,145,Sale,-4,2024-03-08 00:00:00,1976.0,Warehouse_D,Sale transaction
81,102,Return,5,2024-07-17 00:00:00,,Warehouse_B,Return transaction
82,164,Return,5,2024-03-28 00:00:00,,Warehouse_D,Return transaction
83,480,Adjustment,1,2023-03-12 00:00:00,,Warehouse_D,Adjustment transaction
84,4,Sale,-10,2023-10-15 00:00:00,1571.0,Warehouse_D,Sale transaction
85,21,Adjustment,-10,2023-03-08 00:00:00,,Warehouse_A,Adjustment transaction
86,117,Adjustment,-10,2024-06-15 00:00:00,,Warehouse_A,Adjustment transaction
87,396,Sale,-20,2023-10-27 00:00:00,5413.0,Warehouse_A,Sale transaction
88,290,Purchase,458,2024-07-02 00:00:00,,Warehouse_C,Purchase transaction
89,483,Sale,-17,2024-03-02 00:00:00,6264.0,Warehouse_C,Sale transaction
90,132,Sale,-1,2024-08-07 00:00:00,4426.0,Warehouse_B,Sale transaction
91,10,Sale,-15,2024-06-08 00:00:00,806.0,Warehouse_A,Sale transaction
92,269,Purchase,163,2024-09-26 00:00:00,,Warehouse_D,Purchase transaction
93,149,Purchase,307,2023-12-25 00:00:00,,Warehouse_B,Purchase transaction
94,188,Return,5,2023-07-07 00:00:00,,Warehouse_C,Return transaction
95,350,Return,2,2023-03-31 00:00:00,,Warehouse_C,Return transaction
96,104,Sale,-5,2023-09-16 00:00:00,6431.0,Warehouse_B,Sale transaction
97,453,Purchase,50,2023-02-28 00:00:00,,Warehouse_B,Purchase transaction
98,468,Adjustment,2,2023-01-20 00:00:00,,Warehouse_A,Adjustment transaction
99,149,Purchase,70,2024-01-18 00:00:00,,Warehouse_D,Purchase transaction
100,7,Purchase,411,2023-10-22 00:00:00,,Warehouse_A,Purchase transaction
101,266,Return,2,2024-06-27 00:00:00,,Warehouse_D,Return transaction
102,475,Sale,-12,2023-04-22 00:00:00,4471.0,Warehouse_C,Sale transaction
103,390,Return,1,2023-09-17 00:00:00,,Warehouse_D,Return transaction
104,89,Sale,-3,2024-01-06 00:00:00,7958.0,Warehouse_B,Sale transaction
105,66,Return,5,2024-02-13 00:00:00,,Warehouse_B,Return transaction
106,431,Purchase,269,2024-05-02 00:00:00,,Warehouse_A,Purchase transaction
107,387,Adjustment,-8,2023-11-12 00:00:00,,Warehouse_B,Adjustment transaction
108,496,Purchase,315,2023-05-10 00:00:00,,Warehouse_B,Purchase transaction
109,375,Return,1,2024-10-14 00:00:00,,Warehouse_B,Return transaction
110,258,Sale,-8,2023-07-11 00:00:00,1357.0,Warehouse_C,Sale transaction
111,319,Adjustment,-6,2024-01-12 00:00:00,,Warehouse_D,Adjustment transaction
112,371,Return,1,2023-08-21 00:00:00,,Warehouse_B,Return transaction
113,141,Adjustment,4,2024-01-23 00:00:00,,Warehouse_C,Adjustment transaction
114,105,Adjustment,-10,2024-04-23 00:00:00,,Warehouse_D,Adjustment transaction
115,122,Return,4,2024-10-07 00:00:00,,Warehouse_D,Return transaction
116,254,Sale,-14,2024-02-05 00:00:00,154.0,Warehouse_C,Sale transaction
117,474,Return,2,2024-02-09 00:00:00,,Warehouse_B,Return transaction
118,470,Sale,-13,2023-08-24 00:00:00,7947.0,Warehouse_C,Sale transaction
119,349,Purchase,465,2023-09-18 00:00:00,,Warehouse_A,Purchase transaction
120,446,Return,5,2024-09-22 00:00:00,,Warehouse_C,Return transaction
121,373,Purchase,199,2024-06-30 00:00:00,,Warehouse_C,Purchase transaction
122,465,Adjustment,-2,2024-12-31 00:00:00,,Warehouse_C,Adjustment transaction
123,152,Sale,-8,2023-08-20 00:00:00,6129.0,Warehouse_D,Sale transaction
124,113,Sale,-9,2023-09-24 00:00:00,828.0,Warehouse_A,Sale transaction
125,344,Purchase,471,2023-10-08 00:00:00,,Warehouse_B,Purchase transaction
126,472,Return,3,2023-08-02 00:00:00,,Warehouse_A,Return transaction
127,361,Sale,-7,2023-06-14 00:00:00,5419.0,Warehouse_A,Sale transaction
128,218,Return,3,2023-02-24 00:00:00,,Warehouse_D,Return transaction
129,110,Adjustment,-10,2024-06-07 00:00:00,,Warehouse_A,Adjustment transaction
130,90,Purchase,286,2023-06-11 00:00:00,,Warehouse_D,Purchase transaction
131,311,Purchase,181,2024-05-25 00:00:00,,Warehouse_A,Purchase transaction
132,494,Purchase,179,2024-11-19 00:00:00,,Warehouse_D,Purchase transaction
133,191,Purchase,114,2024-05-13 00:00:00,,Warehouse_C,Purchase transaction
134,208,Adjustment,9,2024-06-24 00:00:00,,Warehouse_A,Adjustment transaction
135,117,Purchase,420,2024-02-25 00:00:00,,Warehouse_D,Purchase transaction
136,137,Adjustment,6,2024-10-31 00:00:00,,Warehouse_D,Adjustment transaction
137,431,Adjustment,-2,2024-05-25 00:00:00,,Warehouse_B,Adjustment transaction
138,304,Return,1,2023-11-28 00:00:00,,Warehouse_D,Return transaction
139,432,Purchase,339,2023-01-29 00:00:00,,Warehouse_A,Purchase transaction
140,459,Adjustment,4,2023-09-07 00:00:00,,Warehouse_C,Adjustment transaction
141,380,Purchase,281,2023-03-26 00:00:00,,Warehouse_B,Purchase transaction
142,185,Purchase,118,2024-10-21 00:00:00,,Warehouse_B,Purchase transaction
143,205,Adjustment,2,2024-08-13 00:00:00,,Warehouse_A,Adjustment transaction
144,420,Adjustment,-7,2023-01-10 00:00:00,,Warehouse_D,Adjustment transaction
145,142,Return,3,2023-09-07 00:00:00,,Warehouse_B,Return transaction
146,149,Purchase,428,2023-08-12 00:00:00,,Warehouse_B,Purchase transaction
147,379,Adjustment,4,2023-10-21 00:00:00,,Warehouse_C,Adjustment transaction
148,333,Adjustment,0,2024-01-09 00:00:00,,Warehouse_B,Adjustment transaction
149,26,Adjustment,-8,2023-06-26 00:00:00,,Warehouse_D,Adjustment transaction
150,438,Sale,-16,2024-05-22 00:00:00,4297.0,Warehouse_C,Sale transaction
151,98,Return,1,2023-03-22 00:00:00,,Warehouse_C,Return transaction
152,308,Return,5,2023-12-29 00:00:00,,Warehouse_B,Return transaction
153,128,Return,4,2024-09-22 00:00:00,,Warehouse_A,Return transaction
154,412,Adjustment,8,2024-01-21 00:00:00,,Warehouse_C,Adjustment transaction
155,81,Sale,-6,2023-09-01 00:00:00,1742.0,Warehouse_A,Sale transaction
156,451,Sale,-19,2024-11-10 00:00:00,5704.0,Warehouse_B,Sale transaction
157,258,Adjustment,0,2024-07-07 00:00:00,,Warehouse_D,Adjustment transaction
158,305,Adjustment,7,2023-11-15 00:00:00,,Warehouse_C,Adjustment transaction
159,184,Purchase,441,2024-12-26 00:00:00,,Warehouse_C,Purchase transaction
160,178,Return,4,2024-09-18 00:00:00,,Warehouse_A,Return transaction
161,116,Adjustment,-2,2023-06-17 00:00:00,,Warehouse_D,Adjustment transaction
162,94,Sale,-13,2024-11-22 00:00:00,981.0,Warehouse_B,Sale transaction
163,229,Sale,-3,2024-04-14 00:00:00,5670.0,Warehouse_B,Sale transaction
164,465,Adjustment,4,2023-09-28 00:00:00,,Warehouse_C,Adjustment transaction
165,361,Return,3,2023-05-20 00:00:00,,Warehouse_C,Return transaction
166,132,Sale,-3,2024-09-03 00:00:00,3159.0,Warehouse_C,Sale transaction
167,25,Return,1,2024-12-21 00:00:00,,Warehouse_D,Return transaction
168,291,Sale,-18,2024-08-01 00:00:00,3372.0,Warehouse_B,Sale transaction
169,91,Sale,-19,2024-02-03 00:00:00,6475.0,Warehouse_B,Sale transaction
170,342,Return,1,2024-03-31 00:00:00,,Warehouse_D,Return transaction
171,394,Return,5,2024-06-17 00:00:00,,Warehouse_A,Return transaction
172,255,Sale,-15,2023-01-11 00:00:00,7502.0,Warehouse_A,Sale transaction
173,351,Purchase,414,2024-12-24 00:00:00,,Warehouse_B,Purchase transaction
174,28,Adjustment,2,2024-06-25 00:00:00,,Warehouse_C,Adjustment transaction
175,181,Purchase,468,2023-11-18 00:00:00,,Warehouse_A,Purchase transaction
176,247,Return,3,2024-03-13 00:00:00,,Warehouse_C,Return transaction
177,57,Sale,-19,2023-11-26 00:00:00,1062.0,Warehouse_D,Sale transaction
178,309,Return,3,2023-06-24 00:00:00,,Warehouse_D,Return transaction
179,142,Return,3,2023-01-05 00:00:00,,Warehouse_D,Return transaction
180,35,Adjustment,0,2023-10-27 00:00:00,,Warehouse_C,Adjustment transaction
181,378,Adjustment,7,2023-05-09 00:00:00,,Warehouse_D,Adjustment transaction
182,156,Purchase,436,2023-04-22 00:00:00,,Warehouse_D,Purchase transaction
183,453,Adjustment,-9,2023-06-09 00:00:00,,Warehouse_A,Adjustment transaction
184,156,Return,5,2024-03-18 00:00:00,,Warehouse_A,Return transaction
185,136,Purchase,306,2024-02-02 00:00:00,,Warehouse_D,Purchase transaction
186,109,Sale,-11,2024-06-30 00:00:00,4899.0,Warehouse_D,Sale transaction
187,396,Return,5,2024-03-10 00:00:00,,Warehouse_C,Return transaction
188,42,Adjustment,1,2023-12-23 00:00:00,,Warehouse_B,Adjustment transaction
189,483,Return,2,2024-06-29 00:00:00,,Warehouse_B,Return transaction
190,305,Return,1,2024-07-05 00:00:00,,Warehouse_B,Return transaction
191,389,Return,1,2023-07-05 00:00:00,,Warehouse_B,Return transaction
192,403,Purchase,74,2024-05-19 00:00:00,,Warehouse_B,Purchase transaction
193,168,Purchase,479,2024-05-29 00:00:00,,Warehouse_C,Purchase transaction
194,22,Sale,-9,2023-06-04 00:00:00,1480.0,Warehouse_B,Sale transaction
195,87,Return,4,2024-09-24 00:00:00,,Warehouse_D,Return transaction
196,256,Sale,-4,2023-02-07 00:00:00,7995.0,Warehouse_B,Sale transaction
197,496,Purchase,296,2023-12-01 00:00:00,,Warehouse_C,Purchase transaction
198,139,Adjustment,-10,2023-08-02 00:00:00,,Warehouse_D,Adjustment transaction
199,399,Sale,-10,2024-07-17 00:00:00,6824.0,Warehouse_D,Sale transaction
200,416,Sale,-11,2024-08-04 00:00:00,150.0,Warehouse_D,Sale transaction
201,80,Adjustment,-5,2023-08-02 00:00:00,,Warehouse_B,Adjustment transaction
202,31,Adjustment,-9,2023-03-20 00:00:00,,Warehouse_C,Adjustment transaction
203,243,Return,5,2023-09-12 00:00:00,,Warehouse_C,Return transaction
204,126,Sale,-10,2024-12-07 00:00:00,318.0,Warehouse_C,Sale transaction
205,126,Adjustment,-4,2023-03-02 00:00:00,,Warehouse_A,Adjustment transaction
206,347,Return,5,2024-09-07 00:00:00,,Warehouse_D,Return transaction
207,487,Adjustment,-8,2024-01-06 00:00:00,,Warehouse_A,Adjustment transaction
208,450,Adjustment,-1,2023-02-08 00:00:00,,Warehouse_A,Adjustment transaction
209,280,Purchase,225,2023-02-04 00:00:00,,Warehouse_A,Purchase transaction
210,21,Purchase,451,2024-05-03 00:00:00,,Warehouse_C,Purchase transaction
211,140,Adjustment,1,2024-07-30 00:00:00,,Warehouse_D,Adjustment transaction
212,356,Sale,-8,2023-06-21 00:00:00,2189.0,Warehouse_A,Sale transaction
213,105,Adjustment,7,2024-08-29 00:00:00,,Warehouse_A,Adjustment transaction
214,262,Adjustment,7,2023-06-26 00:00:00,,Warehouse_C,Adjustment transaction
215,404,Purchase,273,2023-03-30 00:00:00,,Warehouse_D,Purchase transaction
216,223,Sale,-15,2023-09-13 00:00:00,2516.0,Warehouse_D,Sale transaction
217,239,Purchase,443,2024-02-10 00:00:00,,Warehouse_B,Purchase transaction
218,51,Purchase,168,2024-11-11 00:00:00,,Warehouse_A,Purchase transaction
219,423,Sale,-8,2023-02-26 00:00:00,1429.0,Warehouse_D,Sale transaction
220,55,Return,1,2024-09-08 00:00:00,,Warehouse_D,Return transaction
221,412,Adjustment,-3,2023-09-25 00:00:00,,Warehouse_A,Adjustment transaction
222,104,Return,3,2024-06-04 00:00:00,,Warehouse_A,Return transaction
223,305,Purchase,390,2023-02-22 00:00:00,,Warehouse_D,Purchase transaction
224,372,Adjustment,10,2024-07-18 00:00:00,,Warehouse_B,Adjustment transaction
225,113,Sale,-4,2024-01-22 00:00:00,6131.0,Warehouse_D,Sale transaction
226,3,Adjustment,0,2024-04-28 00:00:00,,Warehouse_D,Adjustment transaction
227,409,Return,1,2023-10-17 00:00:00,,Warehouse_B,Return transaction
228,137,Sale,-6,2024-11-21 00:00:00,5607.0,Warehouse_B,Sale transaction
229,337,Adjustment,-8,2023-07-10 00:00:00,,Warehouse_A,Adjustment transaction
230,247,Adjustment,-10,2024-06-29 00:00:00,,Warehouse_B,Adjustment transaction
231,88,Adjustment,-6,2023-06-27 00:00:00,,Warehouse_A,Adjustment transaction
232,485,Adjustment,-2,2024-06-03 00:00:00,,Warehouse_B,Adjustment transaction
233,357,Purchase,313,2023-06-16 00:00:00,,Warehouse_B,Purchase transaction
234,99,Purchase,113,2024-11-11 00:00:00,,Warehouse_D,Purchase transaction
235,236,Return,1,2023-01-14 00:00:00,,Warehouse_D,Return transaction
236,78,Adjustment,-10,2023-10-06 00:00:00,,Warehouse_D,Adjustment transaction
237,185,Purchase,239,2023-03-25 00:00:00,,Warehouse_A,Purchase transaction
238,349,Return,4,2024-04-01 00:00:00,,Warehouse_A,Return transaction
239,87,Sale,-4,2023-01-01 00:00:00,4910.0,Warehouse_C,Sale transaction
240,4,Sale,-10,2024-10-06 00:00:00,3199.0,Warehouse_C,Sale transaction
241,250,Purchase,267,2024-11-25 00:00:00,,Warehouse_C,Purchase transaction
242,387,Sale,-6,2023-04-24 00:00:00,3391.0,Warehouse_C,Sale transaction
243,132,Sale,-1,2023-09-28 00:00:00,5578.0,Warehouse_B,Sale transaction
244,448,Return,4,2024-05-06 00:00:00,,Warehouse_B,Return transaction
245,187,Purchase,465,2024-10-27 00:00:00,,Warehouse_D,Purchase transaction
246,163,Adjustment,2,2024-01-24 00:00:00,,Warehouse_D,Adjustment transaction
247,249,Return,2,2023-12-19 00:00:00,,Warehouse_B,Return transaction
248,386,Sale,-14,2023-08-20 00:00:00,4513.0,Warehouse_A,Sale transaction
249,109,Sale,-9,2024-06-24 00:00:00,461.0,Warehouse_C,Sale transaction
250,336,Adjustment,4,2023-03-29 00:00:00,,Warehouse_A,Adjustment transaction
251,53,Return,4,2023-01-19 00:00:00,,Warehouse_D,Return transaction
252,283,Sale,-17,2023-10-03 00:00:00,471.0,Warehouse_A,Sale transaction
253,421,Return,4,2023-01-16 00:00:00,,Warehouse_C,Return transaction
254,360,Return,1,2023-02-16 00:00:00,,Warehouse_B,Return transaction
255,238,Purchase,130,2024-09-02 00:00:00,,Warehouse_B,Purchase transaction
256,5,Purchase,73,2024-11-28 00:00:00,,Warehouse_A,Purchase transaction
257,494,Adjustment,-6,2024-12-06 00:00:00,,Warehouse_A,Adjustment transaction
258,401,Purchase,141,2024-12-15 00:00:00,,Warehouse_C,Purchase transaction
259,443,Sale,-17,2024-03-03 00:00:00,6930.0,Warehouse_B,Sale transaction
260,53,Return,1,2023-10-03 00:00:00,,Warehouse_C,Return transaction
261,131,Sale,-7,2023-04-02 00:00:00,5424.0,Warehouse_C,Sale transaction
262,300,Return,3,2024-12-29 00:00:00,,Warehouse_D,Return transaction
263,234,Sale,-4,2023-07-16 00:00:00,642.0,Warehouse_A,Sale transaction
264,126,Sale,-7,2023-06-01 00:00:00,4112.0,Warehouse_D,Sale transaction
265,237,Adjustment,-8,2023-08-05 00:00:00,,Warehouse_C,Adjustment transaction
266,193,Adjustment,-9,2023-06-22 00:00:00,,Warehouse_D,Adjustment transaction
267,267,Sale,-15,2024-06-06 00:00:00,280.0,Warehouse_A,Sale transaction
268,136,Adjustment,-9,2024-11-14 00:00:00,,Warehouse_B,Adjustment transaction
269,185,Purchase,175,2024-10-15 00:00:00,,Warehouse_B,Purchase transaction
270,101,Sale,-8,2024-06-14 00:00:00,7678.0,Warehouse_B,Sale transaction
271,171,Adjustment,0,2024-08-03 00:00:00,,Warehouse_C,Adjustment transaction
272,309,Return,3,2024-10-19 00:00:00,,Warehouse_B,Return transaction
273,360,Purchase,292,2024-02-09 00:00:00,,Warehouse_C,Purchase transaction
274,184,Sale,-4,2023-07-28 00:00:00,6854.0,Warehouse_A,Sale transaction
275,111,Purchase,358,2024-04-05 00:00:00,,Warehouse_D,Purchase transaction
276,170,Return,5,2024-07-28 00:00:00,,Warehouse_A,Return transaction
277,213,Purchase,301,2024-06-17 00:00:00,,Warehouse_C,Purchase transaction
278,368,Adjustment,7,2023-05-30 00:00:00,,Warehouse_A,Adjustment transaction
279,73,Return,4,2023-02-04 00:00:00,,Warehouse_A,Return transaction
280,455,Purchase,123,2024-10-29 00:00:00,,Warehouse_D,Purchase transaction
281,36,Return,4,2024-07-06 00:00:00,,Warehouse_C,Return transaction
282,431,Adjustment,-6,2023-11-13 00:00:00,,Warehouse_A,Adjustment transaction
283,190,Purchase,466,2023-09-05 00:00:00,,Warehouse_B,Purchase transaction
284,423,Purchase,377,2023-11-11 00:00:00,,Warehouse_C,Purchase transaction
285,83,Purchase,273,2024-08-13 00:00:00,,Warehouse_C,Purchase transaction
286,256,Sale,-5,2023-05-20 00:00:00,2418.0,Warehouse_C,Sale transaction
287,494,Sale,-13,2024-03-19 00:00:00,2707.0,Warehouse_B,Sale transaction
288,392,Sale,-13,2024-02-21 00:00:00,4098.0,Warehouse_D,Sale transaction
289,163,Purchase,417,2023-09-23 00:00:00,,Warehouse_A,Purchase transaction
290,419,Purchase,198,2024-07-01 00:00:00,,Warehouse_B,Purchase transaction
291,144,Purchase,376,2023-03-31 00:00:00,,Warehouse_A,Purchase transaction
292,405,Return,2,2024-08-12 00:00:00,,Warehouse_B,Return transaction
293,273,Sale,-12,2024-10-21 00:00:00,6911.0,Warehouse_C,Sale transaction
294,231,Adjustment,-3,2024-08-30 00:00:00,,Warehouse_D,Adjustment transaction
295,384,Adjustment,-7,2023-06-03 00:00:00,,Warehouse_C,Adjustment transaction
296,342,Return,2,2023-11-27 00:00:00,,Warehouse_D,Return transaction
297,456,Purchase,308,2023-03-28 00:00:00,,Warehouse_A,Purchase transaction
298,122,Purchase,249,2023-05-30 00:00:00,,Warehouse_B,Purchase transaction
299,57,Sale,-18,2024-01-16 00:00:00,1303.0,Warehouse_D,Sale transaction
300,156,Sale,-1,2023-10-10 00:00:00,337.0,Warehouse_A,Sale transaction
301,78,Sale,-19,2023-07-12 00:00:00,6203.0,Warehouse_A,Sale transaction
302,299,Adjustment,-10,2023-10-13 00:00:00,,Warehouse_D,Adjustment transaction
303,284,Sale,-16,2024-02-08 00:00:00,3595.0,Warehouse_C,Sale transaction
304,470,Return,1,2023-04-30 00:00:00,,Warehouse_C,Return transaction
305,338,Adjustment,-3,2024-05-14 00:00:00,,Warehouse_D,Adjustment transaction
306,141,Sale,-10,2023-02-26 00:00:00,4438.0,Warehouse_B,Sale transaction
307,350,Adjustment,-9,2023-08-26 00:00:00,,Warehouse_C,Adjustment transaction
308,397,Return,1,2024-08-23 00:00:00,,Warehouse_A,Return transaction
309,23,Return,4,2023-07-21 00:00:00,,Warehouse_C,Return transaction
310,110,Return,5,2023-05-30 00:00:00,,Warehouse_C,Return transaction
311,30,Purchase,289,2023-07-24 00:00:00,,Warehouse_A,Purchase transaction
312,184,Adjustment,10,2024-04-28 00:00:00,,Warehouse_A,Adjustment transaction
313,161,Sale,-18,2024-11-08 00:00:00,1963.0,Warehouse_A,Sale transaction
314,169,Return,3,2023-04-03 00:00:00,,Warehouse_C,Return transaction
315,12,Return,5,2024-06-15 00:00:00,,Warehouse_C,Return transaction
316,148,Purchase,321,2024-11-06 00:00:00,,Warehouse_A,Purchase transaction
317,127,Purchase,403,2023-06-21 00:00:00,,Warehouse_A,Purchase transaction
318,248,Purchase,370,2024-01-12 00:00:00,,Warehouse_B,Purchase transaction
319,157,Sale,-3,2024-12-06 00:00:00,6521.0,Warehouse_B,Sale transaction
320,433,Sale,-13,2024-02-08 00:00:00,5528.0,Warehouse_A,Sale transaction
321,218,Adjustment,-2,2024-05-26 00:00:00,,Warehouse_C,Adjustment transaction
322,150,Sale,-9,2023-11-25 00:00:00,7458.0,Warehouse_D,Sale transaction
323,360,Adjustment,-2,2023-02-06 00:00:00,,Warehouse_D,Adjustment transaction
324,496,Return,1,2023-05-25 00:00:00,,Warehouse_C,Return transaction
325,212,Sale,-3,2024-09-12 00:00:00,229.0,Warehouse_B,Sale transaction
326,342,Sale,-2,2023-09-28 00:00:00,2469.0,Warehouse_D,Sale transaction
327,19,Return,5,2023-02-03 00:00:00,,Warehouse_A,Return transaction
328,389,Sale,-3,2024-03-08 00:00:00,1957.0,Warehouse_B,Sale transaction
329,378,Return,1,2024-09-06 00:00:00,,Warehouse_D,Return transaction
330,36,Sale,-18,2023-08-15 00:00:00,3290.0,Warehouse_B,Sale transaction
331,1,Return,2,2024-03-07 00:00:00,,Warehouse_D,Return transaction
332,266,Adjustment,-2,2023-04-17 00:00:00,,Warehouse_B,Adjustment transaction
333,207,Return,2,2023-08-06 00:00:00,,Warehouse_A,Return transaction
334,159,Return,1,2024-02-25 00:00:00,,Warehouse_A,Return transaction
335,72,Purchase,100,2024-09-23 00:00:00,,Warehouse_C,Purchase transaction
336,38,Adjustment,-1,2024-09-28 00:00:00,,Warehouse_D,Adjustment transaction
