response_id,campaign_id,customer_id,response_date,response_type,order_id
62,19,1569,2023-12-26 00:00:00,Clicked,
63,26,974,2023-09-15 00:00:00,Opened,
64,26,418,2023-09-12 00:00:00,Opened,
65,8,96,2023-10-06 00:00:00,Clicked,
66,9,1329,2023-11-17 00:00:00,Unsubscribed,
67,22,214,2023-07-17 00:00:00,Opened,
68,14,1041,2023-12-10 00:00:00,Unsubscribed,
69,30,1370,2024-09-18 00:00:00,Opened,
70,7,405,2024-07-24 00:00:00,Clicked,
71,23,1699,2024-01-02 00:00:00,Unsubscribed,
72,4,1838,2024-10-20 00:00:00,Purchased,
73,19,716,2024-01-18 00:00:00,Clicked,
74,27,1783,2024-05-26 00:00:00,Clicked,
75,27,1841,2024-05-28 00:00:00,Purchased,
76,13,557,2024-10-12 00:00:00,Unsubscribed,
77,29,544,2024-12-11 00:00:00,Clicked,
78,23,1077,2024-01-31 00:00:00,Unsubscribed,
79,16,648,2023-11-28 00:00:00,Opened,
80,5,1037,2024-06-07 00:00:00,Opened,
81,9,1130,2023-12-21 00:00:00,Clicked,
82,13,1258,2024-08-28 00:00:00,Opened,
83,24,382,2024-10-23 00:00:00,Unsubscribed,
84,21,1383,2024-07-26 00:00:00,Clicked,
85,10,1861,2024-04-26 00:00:00,Purchased,5555.0
86,3,1696,2023-06-12 00:00:00,Purchased,2620.0
87,3,811,2023-05-02 00:00:00,Unsubscribed,
88,10,1587,2024-04-06 00:00:00,Opened,
89,1,634,2023-06-27 00:00:00,Opened,
90,29,493,2024-12-12 00:00:00,Opened,
91,14,1531,2024-01-10 00:00:00,Purchased,
92,29,808,2024-12-04 00:00:00,Unsubscribed,
93,30,855,2024-09-27 00:00:00,Purchased,
94,20,582,2023-06-07 00:00:00,Clicked,
95,14,194,2024-02-01 00:00:00,Purchased,
96,7,1230,2024-07-23 00:00:00,Unsubscribed,
97,2,1779,2023-08-06 00:00:00,Unsubscribed,
98,9,824,2023-11-26 00:00:00,Unsubscribed,
99,19,235,2024-01-09 00:00:00,Opened,
100,2,965,2023-08-30 00:00:00,Unsubscribed,
101,9,286,2023-12-23 00:00:00,Unsubscribed,
102,5,1093,2024-07-16 00:00:00,Opened,
103,28,1623,2024-06-14 00:00:00,Opened,
104,11,1596,2024-04-16 00:00:00,Opened,
105,11,1608,2024-05-04 00:00:00,Opened,
106,24,1560,2024-08-27 00:00:00,Purchased,6702.0
107,30,1694,2024-10-01 00:00:00,Unsubscribed,
108,19,1928,2024-01-22 00:00:00,Purchased,931.0
109,23,1511,2023-12-27 00:00:00,Unsubscribed,
110,10,917,2024-05-20 00:00:00,Unsubscribed,
111,12,1180,2023-11-11 00:00:00,Clicked,
112,20,361,2023-06-12 00:00:00,Opened,
113,8,1239,2023-08-27 00:00:00,Purchased,1903.0
114,26,1778,2023-09-13 00:00:00,Clicked,
115,21,1045,2024-07-22 00:00:00,Opened,
116,2,1213,2023-08-15 00:00:00,Unsubscribed,
117,25,1518,2023-11-30 00:00:00,Purchased,174.0
118,30,750,2024-10-19 00:00:00,Clicked,
119,29,321,2024-12-12 00:00:00,Opened,
120,3,411,2023-06-06 00:00:00,Clicked,
121,30,1306,2024-09-26 00:00:00,Unsubscribed,
122,11,860,2024-04-04 00:00:00,Clicked,
123,19,204,2024-02-07 00:00:00,Purchased,
124,8,622,2023-10-05 00:00:00,Opened,
125,6,1604,2024-08-28 00:00:00,Clicked,
126,5,1627,2024-05-31 00:00:00,Purchased,
127,29,987,2024-11-28 00:00:00,Opened,
128,2,329,2023-07-27 00:00:00,Purchased,1062.0
129,16,1320,2024-01-02 00:00:00,Opened,
130,22,353,2023-07-22 00:00:00,Opened,
131,17,878,2023-11-18 00:00:00,Opened,
132,9,1106,2023-12-13 00:00:00,Purchased,
133,1,545,2023-07-02 00:00:00,Purchased,7594.0
134,8,568,2023-10-06 00:00:00,Clicked,
135,28,400,2024-05-13 00:00:00,Purchased,
136,25,859,2023-12-24 00:00:00,Purchased,5392.0
137,5,779,2024-06-05 00:00:00,Unsubscribed,
138,22,1797,2023-06-25 00:00:00,Clicked,
139,12,1114,2023-11-23 00:00:00,Clicked,
140,18,1391,2024-03-26 00:00:00,Purchased,
141,16,821,2023-12-16 00:00:00,Clicked,
142,8,1356,2023-08-30 00:00:00,Opened,
143,14,1338,2024-01-18 00:00:00,Purchased,7069.0
144,26,1496,2023-08-22 00:00:00,Purchased,714.0
145,13,1986,2024-10-17 00:00:00,Unsubscribed,
146,17,260,2023-12-10 00:00:00,Opened,
147,7,652,2024-07-27 00:00:00,Unsubscribed,
148,13,888,2024-08-22 00:00:00,Purchased,3687.0
149,30,1371,2024-09-16 00:00:00,Unsubscribed,
150,6,554,2024-10-09 00:00:00,Clicked,
151,20,1451,2023-06-11 00:00:00,Unsubscribed,
152,4,1419,2024-11-05 00:00:00,Clicked,
153,13,387,2024-09-21 00:00:00,Purchased,5219.0
154,16,457,2024-01-08 00:00:00,Opened,
155,2,1118,2023-09-05 00:00:00,Unsubscribed,
156,3,89,2023-04-19 00:00:00,Purchased,976.0
157,1,33,2023-07-03 00:00:00,Opened,
158,9,1237,2024-01-02 00:00:00,Opened,
159,6,140,2024-09-23 00:00:00,Unsubscribed,
160,20,989,2023-06-14 00:00:00,Unsubscribed,
161,6,666,2024-10-23 00:00:00,Unsubscribed,
162,20,567,2023-06-19 00:00:00,Purchased,223.0
163,29,1242,2024-12-14 00:00:00,Opened,
164,15,1212,2024-11-05 00:00:00,Unsubscribed,
165,25,1546,2023-11-27 00:00:00,Unsubscribed,
166,19,761,2024-01-29 00:00:00,Unsubscribed,
167,13,1497,2024-08-22 00:00:00,Unsubscribed,
168,19,842,2023-12-17 00:00:00,Purchased,
169,19,225,2023-12-27 00:00:00,Purchased,2650.0
170,7,1896,2024-07-17 00:00:00,Clicked,
171,27,1266,2024-05-09 00:00:00,Clicked,
172,7,1268,2024-07-22 00:00:00,Clicked,
173,19,624,2024-01-03 00:00:00,Opened,
174,12,1503,2023-11-25 00:00:00,Clicked,
175,14,1037,2023-12-15 00:00:00,Unsubscribed,
176,19,1834,2024-01-21 00:00:00,Purchased,2534.0
177,10,1421,2024-04-29 00:00:00,Unsubscribed,
178,9,285,2023-11-13 00:00:00,Unsubscribed,
179,25,491,2023-11-28 00:00:00,Clicked,
180,2,1018,2023-07-16 00:00:00,Clicked,
181,11,1578,2024-05-14 00:00:00,Clicked,
182,18,121,2024-03-22 00:00:00,Unsubscribed,
183,3,773,2023-05-03 00:00:00,Opened,
184,17,353,2023-11-05 00:00:00,Unsubscribed,
185,5,75,2024-06-04 00:00:00,Opened,
186,8,1216,2023-08-13 00:00:00,Unsubscribed,
187,1,309,2023-06-10 00:00:00,Clicked,
188,4,646,2024-11-02 00:00:00,Opened,
189,8,1231,2023-08-28 00:00:00,Opened,
190,24,849,2024-10-07 00:00:00,Purchased,
191,7,893,2024-07-04 00:00:00,Purchased,740.0
192,19,364,2024-01-08 00:00:00,Clicked,
193,17,720,2023-10-28 00:00:00,Opened,
194,25,843,2023-11-16 00:00:00,Opened,
195,5,1276,2024-06-17 00:00:00,Purchased,2640.0
196,29,525,2024-11-07 00:00:00,Clicked,
197,4,1064,2024-10-07 00:00:00,Unsubscribed,
198,30,429,2024-11-02 00:00:00,Clicked,
199,30,649,2024-10-21 00:00:00,Opened,
200,13,1996,2024-09-03 00:00:00,Opened,
201,15,1143,2024-12-21 00:00:00,Clicked,
202,1,257,2023-07-01 00:00:00,Clicked,
203,3,1729,2023-05-04 00:00:00,Clicked,
204,21,1212,2024-06-23 00:00:00,Purchased,1423.0
205,4,260,2024-11-08 00:00:00,Purchased,
206,12,1275,2023-10-08 00:00:00,Clicked,
207,25,676,2023-12-30 00:00:00,Unsubscribed,
208,30,384,2024-10-28 00:00:00,Purchased,
209,8,321,2023-09-19 00:00:00,Clicked,
210,9,962,2023-12-30 00:00:00,Opened,
211,12,393,2023-11-25 00:00:00,Opened,
212,17,1418,2023-12-04 00:00:00,Clicked,
213,3,934,2023-04-17 00:00:00,Purchased,
214,13,843,2024-09-17 00:00:00,Purchased,
215,13,856,2024-09-14 00:00:00,Clicked,
216,18,1881,2024-03-15 00:00:00,Unsubscribed,
217,21,1852,2024-07-04 00:00:00,Opened,
218,8,1891,2023-10-05 00:00:00,Unsubscribed,
219,30,1493,2024-10-25 00:00:00,Clicked,
220,4,1707,2024-11-27 00:00:00,Purchased,
221,23,631,2023-12-23 00:00:00,Clicked,
222,30,1833,2024-10-25 00:00:00,Opened,
223,21,1300,2024-07-01 00:00:00,Clicked,
224,17,1677,2023-10-29 00:00:00,Opened,
225,7,302,2024-08-18 00:00:00,Purchased,167.0
226,27,1918,2024-05-22 00:00:00,Opened,
227,11,1021,2024-04-24 00:00:00,Clicked,
228,19,202,2024-01-04 00:00:00,Clicked,
229,14,642,2024-01-15 00:00:00,Clicked,
230,17,304,2023-10-17 00:00:00,Purchased,
231,5,1795,2024-06-17 00:00:00,Clicked,
232,27,252,2024-05-05 00:00:00,Purchased,7126.0
233,9,669,2023-12-07 00:00:00,Clicked,
234,8,501,2023-09-19 00:00:00,Purchased,7362.0
235,7,280,2024-07-29 00:00:00,Purchased,
236,28,447,2024-05-05 00:00:00,Clicked,
237,13,104,2024-09-09 00:00:00,Purchased,
238,19,431,2024-01-22 00:00:00,Purchased,
239,11,325,2024-04-23 00:00:00,Clicked,
240,15,1243,2024-11-30 00:00:00,Purchased,
241,1,1974,2023-06-05 00:00:00,Opened,
242,5,315,2024-05-23 00:00:00,Unsubscribed,
243,17,980,2023-11-23 00:00:00,Clicked,
244,9,1178,2023-11-13 00:00:00,Opened,
245,24,1443,2024-10-19 00:00:00,Purchased,
246,30,234,2024-10-21 00:00:00,Unsubscribed,
247,16,806,2023-11-27 00:00:00,Purchased,5578.0
248,29,177,2024-11-05 00:00:00,Opened,
249,21,853,2024-08-01 00:00:00,Unsubscribed,
250,1,1375,2023-05-20 00:00:00,Unsubscribed,
251,21,1376,2024-08-06 00:00:00,Unsubscribed,
252,11,584,2024-04-07 00:00:00,Opened,
253,27,1941,2024-06-02 00:00:00,Clicked,
254,26,1739,2023-08-21 00:00:00,Clicked,
255,15,1332,2024-12-31 00:00:00,Clicked,
256,6,1164,2024-10-09 00:00:00,Clicked,
257,21,872,2024-07-10 00:00:00,Opened,
258,27,635,2024-06-02 00:00:00,Clicked,
259,17,1808,2023-10-29 00:00:00,Purchased,3179.0
260,30,464,2024-10-12 00:00:00,Clicked,
261,2,1321,2023-08-11 00:00:00,Opened,
262,11,376,2024-04-25 00:00:00,Unsubscribed,
263,5,109,2024-06-03 00:00:00,Purchased,
264,4,1931,2024-10-06 00:00:00,Clicked,
265,21,1516,2024-07-10 00:00:00,Clicked,
266,21,1275,2024-07-28 00:00:00,Opened,
267,19,26,2024-01-18 00:00:00,Clicked,
268,3,1194,2023-05-31 00:00:00,Clicked,
269,1,1417,2023-06-30 00:00:00,Unsubscribed,
270,5,845,2024-07-14 00:00:00,Clicked,
271,17,886,2023-12-06 00:00:00,Purchased,1645.0
272,9,31,2023-11-15 00:00:00,Purchased,3409.0
273,14,1322,2023-12-14 00:00:00,Unsubscribed,
274,10,108,2024-05-01 00:00:00,Purchased,
275,3,1607,2023-04-25 00:00:00,Clicked,
276,14,1082,2023-12-17 00:00:00,Clicked,
277,10,1981,2024-03-25 00:00:00,Purchased,4580.0
278,18,699,2024-03-22 00:00:00,Clicked,
279,30,1055,2024-10-19 00:00:00,Clicked,
280,28,570,2024-06-03 00:00:00,Unsubscribed,
281,26,1170,2023-09-26 00:00:00,Unsubscribed,
282,24,654,2024-09-20 00:00:00,Clicked,
283,9,428,2023-12-26 00:00:00,Unsubscribed,
284,25,1112,2024-01-03 00:00:00,Purchased,
285,13,326,2024-08-28 00:00:00,Purchased,
286,10,794,2024-04-02 00:00:00,Unsubscribed,
287,5,1649,2024-07-07 00:00:00,Clicked,
288,23,40,2024-01-30 00:00:00,Unsubscribed,
289,5,1713,2024-06-03 00:00:00,Purchased,
290,13,357,2024-09-19 00:00:00,Purchased,5649.0
291,16,1790,2023-11-27 00:00:00,Purchased,1892.0
292,18,246,2024-03-17 00:00:00,Clicked,
293,16,362,2023-12-12 00:00:00,Opened,
294,2,1600,2023-09-03 00:00:00,Opened,
295,3,1460,2023-06-07 00:00:00,Opened,
296,30,441,2024-10-04 00:00:00,Purchased,2023.0
297,10,190,2024-04-19 00:00:00,Unsubscribed,
298,1,1134,2023-05-23 00:00:00,Unsubscribed,
299,27,1826,2024-05-23 00:00:00,Purchased,
300,27,486,2024-05-27 00:00:00,Purchased,
301,21,169,2024-07-16 00:00:00,Purchased,2179.0
302,7,1640,2024-07-18 00:00:00,Purchased,1196.0
303,4,1823,2024-11-02 00:00:00,Unsubscribed,
304,27,169,2024-04-26 00:00:00,Clicked,
305,19,603,2024-01-19 00:00:00,Unsubscribed,
306,2,1100,2023-09-09 00:00:00,Purchased,626.0
307,4,283,2024-10-27 00:00:00,Opened,
308,1,1537,2023-06-01 00:00:00,Purchased,
309,15,260,2024-12-08 00:00:00,Clicked,
310,28,1406,2024-05-28 00:00:00,Unsubscribed,
311,26,1234,2023-09-25 00:00:00,Clicked,
312,16,1574,2023-12-06 00:00:00,Clicked,
313,5,674,2024-06-13 00:00:00,Clicked,
314,1,21,2023-07-03 00:00:00,Purchased,4792.0
315,29,1698,2024-11-15 00:00:00,Purchased,
316,2,816,2023-09-06 00:00:00,Purchased,1461.0
317,6,1500,2024-09-24 00:00:00,Unsubscribed,
318,6,1768,2024-09-27 00:00:00,Unsubscribed,
319,18,951,2024-04-07 00:00:00,Purchased,
320,15,550,2024-11-06 00:00:00,Opened,
321,23,1259,2024-02-09 00:00:00,Unsubscribed,
322,9,1054,2023-11-25 00:00:00,Opened,
323,4,1277,2024-10-24 00:00:00,Clicked,
324,18,1425,2024-03-20 00:00:00,Opened,
325,4,1176,2024-10-25 00:00:00,Opened,
326,18,1582,2024-03-13 00:00:00,Clicked,
327,2,347,2023-08-18 00:00:00,Clicked,
328,19,874,2023-12-19 00:00:00,Purchased,4079.0
329,17,1976,2023-11-08 00:00:00,Opened,
330,10,922,2024-04-20 00:00:00,Opened,
331,20,1980,2023-06-11 00:00:00,Unsubscribed,
332,21,408,2024-08-13 00:00:00,Purchased,4311.0
333,17,1190,2023-10-15 00:00:00,Opened,
334,8,1002,2023-10-08 00:00:00,Clicked,
335,19,1264,2024-02-04 00:00:00,Clicked,
336,15,1295,2024-12-30 00:00:00,Clicked,
337,6,1914,2024-10-03 00:00:00,Purchased,
338,20,546,2023-05-15 00:00:00,Clicked,
339,12,1307,2023-10-22 00:00:00,Clicked,
340,20,1767,2023-07-01 00:00:00,Purchased,1295.0
341,22,1592,2023-06-26 00:00:00,Opened,
342,17,808,2023-11-19 00:00:00,Unsubscribed,
343,2,1708,2023-07-23 00:00:00,Opened,
344,5,506,2024-07-05 00:00:00,Clicked,
345,7,1021,2024-07-08 00:00:00,Purchased,
346,3,698,2023-06-01 00:00:00,Opened,
347,9,273,2023-12-06 00:00:00,Clicked,
348,30,1447,2024-11-05 00:00:00,Purchased,
349,5,45,2024-07-06 00:00:00,Purchased,2877.0
350,18,1702,2024-04-29 00:00:00,Unsubscribed,
351,6,309,2024-09-01 00:00:00,Opened,
352,27,567,2024-04-11 00:00:00,Purchased,223.0
353,5,1126,2024-06-08 00:00:00,Opened,
354,17,257,2023-10-15 00:00:00,Clicked,
355,9,1403,2023-12-13 00:00:00,Unsubscribed,
356,14,1721,2024-01-10 00:00:00,Unsubscribed,
357,12,989,2023-11-28 00:00:00,Opened,
358,1,1710,2023-05-23 00:00:00,Clicked,
359,24,344,2024-09-11 00:00:00,Clicked,
360,19,1700,2024-01-26 00:00:00,Opened,
361,24,739,2024-10-19 00:00:00,Purchased,2121.0
362,19,1257,2023-12-22 00:00:00,Opened,
363,3,129,2023-06-12 00:00:00,Unsubscribed,
364,25,1820,2024-01-02 00:00:00,Unsubscribed,
365,24,366,2024-10-21 00:00:00,Unsubscribed,
366,24,399,2024-10-14 00:00:00,Opened,
367,16,658,2024-01-24 00:00:00,Clicked,
368,21,385,2024-07-13 00:00:00,Opened,
369,10,52,2024-04-03 00:00:00,Unsubscribed,
370,23,1870,2023-12-23 00:00:00,Unsubscribed,
371,24,1079,2024-10-12 00:00:00,Clicked,
372,16,1207,2024-01-18 00:00:00,Purchased,
373,11,1331,2024-05-14 00:00:00,Unsubscribed,
374,23,1226,2024-01-27 00:00:00,Opened,
375,1,1101,2023-07-01 00:00:00,Opened,
376,25,1088,2023-11-23 00:00:00,Clicked,
377,22,674,2023-06-27 00:00:00,Unsubscribed,
378,26,1721,2023-08-15 00:00:00,Unsubscribed,
379,11,467,2024-04-10 00:00:00,Unsubscribed,
380,20,321,2023-06-28 00:00:00,Unsubscribed,
381,26,662,2023-09-09 00:00:00,Purchased,4360.0
382,13,1020,2024-10-03 00:00:00,Purchased,
383,11,1716,2024-05-14 00:00:00,Opened,
384,19,560,2023-12-21 00:00:00,Purchased,525.0
385,9,1035,2023-11-24 00:00:00,Unsubscribed,
386,20,1502,2023-05-23 00:00:00,Purchased,
387,3,1004,2023-04-27 00:00:00,Opened,
388,5,829,2024-06-02 00:00:00,Opened,
389,17,1236,2023-11-02 00:00:00,Clicked,
390,21,1977,2024-07-05 00:00:00,Purchased,5005.0
391,21,629,2024-07-28 00:00:00,Opened,
392,16,1013,2023-12-10 00:00:00,Unsubscribed,
393,28,1591,2024-06-26 00:00:00,Unsubscribed,
394,11,623,2024-04-11 00:00:00,Unsubscribed,
395,4,631,2024-11-23 00:00:00,Opened,
396,3,1177,2023-05-07 00:00:00,Clicked,
397,4,1008,2024-11-14 00:00:00,Purchased,
398,4,708,2024-10-17 00:00:00,Opened,
399,15,1400,2024-11-18 00:00:00,Opened,
400,27,893,2024-05-26 00:00:00,Purchased,740.0
401,24,168,2024-10-02 00:00:00,Clicked,
402,14,427,2023-12-08 00:00:00,Unsubscribed,
403,22,507,2023-07-11 00:00:00,Clicked,
404,12,1948,2023-10-10 00:00:00,Clicked,
405,16,1374,2023-12-21 00:00:00,Clicked,
406,12,1882,2023-10-11 00:00:00,Clicked,
407,25,362,2023-11-19 00:00:00,Purchased,4042.0
408,18,1704,2024-04-04 00:00:00,Unsubscribed,
409,5,1480,2024-06-13 00:00:00,Clicked,
410,18,1041,2024-03-20 00:00:00,Unsubscribed,
411,25,956,2023-11-15 00:00:00,Opened,
412,9,1833,2023-12-08 00:00:00,Clicked,
413,8,1936,2023-08-19 00:00:00,Opened,
414,6,1535,2024-09-08 00:00:00,Opened,
415,18,190,2024-04-18 00:00:00,Purchased,1321.0
416,17,1739,2023-11-02 00:00:00,Unsubscribed,
417,26,259,2023-09-26 00:00:00,Opened,
418,18,1712,2024-04-05 00:00:00,Opened,
419,24,235,2024-09-27 00:00:00,Opened,
420,17,388,2023-12-05 00:00:00,Clicked,
421,10,1031,2024-04-10 00:00:00,Purchased,2673.0
422,18,781,2024-03-11 00:00:00,Purchased,
423,24,1599,2024-09-02 00:00:00,Opened,
424,30,1363,2024-09-30 00:00:00,Unsubscribed,
425,12,1245,2023-11-28 00:00:00,Unsubscribed,
426,1,1421,2023-07-02 00:00:00,Clicked,
427,18,1939,2024-04-14 00:00:00,Clicked,
428,20,1618,2023-05-11 00:00:00,Unsubscribed,
429,21,611,2024-06-30 00:00:00,Opened,
430,5,958,2024-07-04 00:00:00,Clicked,
431,2,1051,2023-09-03 00:00:00,Clicked,
432,26,743,2023-08-10 00:00:00,Opened,
433,10,1434,2024-03-27 00:00:00,Purchased,
434,30,1136,2024-10-13 00:00:00,Clicked,
435,3,517,2023-05-21 00:00:00,Unsubscribed,
436,23,872,2023-12-25 00:00:00,Opened,
437,4,1043,2024-10-18 00:00:00,Clicked,
438,21,733,2024-06-26 00:00:00,Opened,
439,11,841,2024-04-08 00:00:00,Opened,
440,16,983,2023-12-10 00:00:00,Purchased,6246.0
441,23,894,2024-02-03 00:00:00,Purchased,1148.0
442,11,1683,2024-04-27 00:00:00,Unsubscribed,
443,12,846,2023-10-12 00:00:00,Opened,
444,12,1217,2023-11-30 00:00:00,Clicked,
445,9,1888,2023-11-16 00:00:00,Clicked,
446,13,521,2024-09-20 00:00:00,Opened,
447,10,601,2024-05-21 00:00:00,Unsubscribed,
448,23,1259,2024-01-02 00:00:00,Unsubscribed,
449,26,1483,2023-09-01 00:00:00,Unsubscribed,
450,17,1463,2023-11-25 00:00:00,Clicked,
451,20,1459,2023-05-24 00:00:00,Opened,
452,10,1166,2024-05-06 00:00:00,Opened,
453,27,1558,2024-05-13 00:00:00,Opened,
454,16,303,2024-01-20 00:00:00,Clicked,
455,28,1116,2024-06-04 00:00:00,Purchased,
456,26,572,2023-08-09 00:00:00,Opened,
457,9,585,2023-12-02 00:00:00,Clicked,
458,25,1964,2024-01-02 00:00:00,Unsubscribed,
459,9,124,2023-11-20 00:00:00,Unsubscribed,
460,27,682,2024-05-02 00:00:00,Unsubscribed,
461,27,736,2024-04-25 00:00:00,Clicked,
462,27,518,2024-05-20 00:00:00,Clicked,
463,1,84,2023-07-03 00:00:00,Purchased,
464,14,357,2024-02-04 00:00:00,Purchased,
465,16,939,2023-12-31 00:00:00,Purchased,4293.0
466,16,343,2024-01-06 00:00:00,Purchased,4635.0
467,16,1728,2024-01-17 00:00:00,Purchased,711.0
468,24,1442,2024-10-20 00:00:00,Purchased,
469,17,1263,2023-10-25 00:00:00,Unsubscribed,
470,14,1658,2024-01-07 00:00:00,Opened,
471,27,909,2024-06-01 00:00:00,Purchased,2273.0
472,27,72,2024-05-02 00:00:00,Opened,
473,8,1569,2023-09-19 00:00:00,Purchased,369.0
474,12,956,2023-10-20 00:00:00,Opened,
475,26,324,2023-08-29 00:00:00,Purchased,
476,27,1339,2024-04-30 00:00:00,Unsubscribed,
477,23,425,2024-01-07 00:00:00,Opened,
478,3,1506,2023-05-04 00:00:00,Opened,
479,8,1628,2023-09-26 00:00:00,Purchased,
480,8,1567,2023-09-20 00:00:00,Clicked,
481,23,1234,2023-12-29 00:00:00,Unsubscribed,
482,13,667,2024-10-12 00:00:00,Unsubscribed,
483,23,1823,2024-01-28 00:00:00,Unsubscribed,
484,15,1515,2024-11-25 00:00:00,Opened,
485,9,1864,2023-11-25 00:00:00,Opened,
486,10,1781,2024-04-05 00:00:00,Clicked,
487,11,1342,2024-05-01 00:00:00,Clicked,
488,11,1929,2024-04-22 00:00:00,Purchased,
489,21,1651,2024-07-17 00:00:00,Unsubscribed,
490,4,854,2024-10-21 00:00:00,Unsubscribed,
491,29,893,2024-11-28 00:00:00,Clicked,
492,12,1543,2023-12-03 00:00:00,Unsubscribed,
493,4,815,2024-11-16 00:00:00,Opened,
494,5,1024,2024-05-25 00:00:00,Opened,
495,24,1047,2024-09-03 00:00:00,Unsubscribed,
496,8,724,2023-08-19 00:00:00,Purchased,
497,7,1605,2024-07-11 00:00:00,Opened,
498,23,523,2024-01-07 00:00:00,Opened,
499,14,1713,2023-12-16 00:00:00,Purchased,
500,5,1184,2024-07-14 00:00:00,Clicked,
501,5,1775,2024-05-25 00:00:00,Unsubscribed,
502,14,593,2023-12-09 00:00:00,Purchased,4324.0
503,15,549,2024-11-13 00:00:00,Unsubscribed,
504,7,1322,2024-08-23 00:00:00,Opened,
505,14,280,2024-01-23 00:00:00,Opened,
506,13,611,2024-09-29 00:00:00,Opened,
507,19,31,2024-02-10 00:00:00,Purchased,
508,17,1457,2023-11-17 00:00:00,Clicked,
509,3,1914,2023-05-09 00:00:00,Clicked,
510,9,124,2023-12-20 00:00:00,Purchased,
511,20,975,2023-05-21 00:00:00,Clicked,
512,1,549,2023-07-07 00:00:00,Unsubscribed,
513,7,1340,2024-08-02 00:00:00,Clicked,
514,26,688,2023-08-16 00:00:00,Unsubscribed,
515,16,1776,2023-12-29 00:00:00,Purchased,
516,27,356,2024-05-18 00:00:00,Opened,
517,19,1145,2024-01-12 00:00:00,Purchased,819.0
518,10,1226,2024-04-02 00:00:00,Purchased,
519,24,1806,2024-08-30 00:00:00,Clicked,
520,21,834,2024-06-30 00:00:00,Opened,
521,12,737,2023-11-19 00:00:00,Clicked,
522,30,1750,2024-09-13 00:00:00,Clicked,
523,19,843,2023-12-28 00:00:00,Purchased,3918.0
524,2,1102,2023-08-07 00:00:00,Clicked,
525,19,947,2024-02-02 00:00:00,Purchased,
526,22,1270,2023-07-19 00:00:00,Unsubscribed,
527,5,967,2024-06-08 00:00:00,Purchased,5670.0
