order_id,customer_id,order_date,ship_date,delivery_date,order_status,payment_method,shipping_cost,discount_amount,tax_amount,total_amount,shipping_address_city,shipping_address_state,shipping_address_country
20,1217,2024-11-02 00:00:00,2024-11-03 00:00:00,,Shipped,Bank Transfer,10.91,0.0,327.77,4435.8,New York,FL,UK
21,1377,2023-06-12 00:00:00,2023-06-13 00:00:00,2023-06-20 00:00:00,Delivered,Bank Transfer,9.52,0.0,190.2,2577.22,San Jose,MI,UK
22,15,2024-05-02 00:00:00,,,Pending,PayPal,24.04,0.0,550.25,7452.47,San Antonio,CA,USA
23,607,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-13 00:00:00,Delivered,Credit Card,23.37,0.0,250.42,3404.01,Chicago,PA,USA
24,909,2023-03-07 00:00:00,2023-03-09 00:00:00,2023-03-12 00:00:00,Delivered,Bank Transfer,21.46,0.0,515.67,6982.96,Philadelphia,OH,USA
25,500,2024-08-13 00:00:00,2024-08-15 00:00:00,2024-08-24 00:00:00,Delivered,Debit Card,21.08,0.0,36.76,517.29,Philadelphia,TX,USA
26,1788,2024-02-22 00:00:00,2024-02-23 00:00:00,2024-03-01 00:00:00,Delivered,Credit Card,19.06,0.0,139.18,1897.98,San Antonio,TX,Australia
27,745,2023-08-26 00:00:00,2023-08-27 00:00:00,2023-09-04 00:00:00,Delivered,Credit Card,6.47,0.0,120.97,1639.56,San Diego,NY,USA
28,266,2024-01-18 00:00:00,,,Pending,Credit Card,21.26,0.0,160.8,2192.12,New York,MI,USA
29,443,2024-02-02 00:00:00,,,Cancelled,Credit Card,13.03,0.0,187.85,2549.06,New York,GA,USA
30,806,2023-08-31 00:00:00,2023-09-02 00:00:00,2023-09-10 00:00:00,Delivered,PayPal,9.77,0.0,121.56,1650.77,Chicago,TX,USA
31,91,2023-05-13 00:00:00,,,Cancelled,PayPal,22.74,31.66,73.01,976.73,San Jose,IL,USA
32,1716,2023-01-09 00:00:00,,,Cancelled,Credit Card,16.76,10.82,218.42,2954.65,Philadelphia,NC,Canada
33,1214,2023-05-02 00:00:00,2023-05-03 00:00:00,2023-05-08 00:00:00,Delivered,Google Pay,17.78,6.76,476.93,6449.55,Houston,CA,UK
34,538,2023-12-14 00:00:00,2023-12-17 00:00:00,2023-12-22 00:00:00,Delivered,PayPal,20.35,0.0,624.94,8457.04,Philadelphia,CA,USA
35,1165,2024-04-23 00:00:00,2024-04-24 00:00:00,,Shipped,Debit Card,22.15,0.0,29.75,423.75,Phoenix,GA,USA
36,1985,2024-02-06 00:00:00,2024-02-07 00:00:00,2024-02-17 00:00:00,Delivered,PayPal,13.61,48.35,15.89,179.73,Los Angeles,MI,Germany
37,1879,2024-05-19 00:00:00,2024-05-22 00:00:00,2024-05-29 00:00:00,Delivered,Debit Card,10.16,31.51,158.61,2119.83,Houston,CA,Australia
38,90,2023-11-23 00:00:00,2023-11-26 00:00:00,2023-12-06 00:00:00,Delivered,PayPal,24.25,14.27,38.36,527.85,Houston,FL,USA
39,462,2024-06-10 00:00:00,2024-06-11 00:00:00,2024-06-21 00:00:00,Delivered,Bank Transfer,5.33,0.0,195.97,2650.92,New York,FL,USA
40,1123,2024-09-01 00:00:00,2024-09-03 00:00:00,,Shipped,PayPal,17.59,0.0,85.86,1176.69,San Jose,NY,USA
41,1816,2023-10-17 00:00:00,2023-10-19 00:00:00,,Shipped,Bank Transfer,24.61,8.39,290.26,3934.75,Chicago,NY,Australia
42,760,2023-06-02 00:00:00,2023-06-04 00:00:00,2023-06-13 00:00:00,Delivered,Apple Pay,6.05,0.0,555.94,7511.3,Los Angeles,FL,USA
43,25,2023-08-29 00:00:00,2023-08-30 00:00:00,,Shipped,PayPal,21.22,0.0,404.44,5481.16,Phoenix,NY,USA
44,1110,2024-03-09 00:00:00,2024-03-11 00:00:00,2024-03-13 00:00:00,Delivered,Debit Card,10.93,0.0,28.37,393.95,Philadelphia,MI,USA
45,1552,2024-03-07 00:00:00,2024-03-08 00:00:00,,Shipped,Credit Card,7.62,0.0,65.24,888.3,New York,GA,Canada
46,750,2024-05-31 00:00:00,2024-06-01 00:00:00,,Shipped,Bank Transfer,6.42,0.0,194.26,2628.96,Dallas,IL,USA
47,9,2023-03-11 00:00:00,,,Pending,Credit Card,9.61,0.0,89.9,1223.31,Los Angeles,OH,USA
48,867,2024-05-23 00:00:00,2024-05-25 00:00:00,2024-06-02 00:00:00,Delivered,Google Pay,6.08,0.0,79.82,1083.69,Dallas,IL,USA
49,127,2024-01-18 00:00:00,2024-01-19 00:00:00,2024-01-25 00:00:00,Delivered,PayPal,11.04,29.54,389.6,5241.06,Chicago,OH,USA
50,906,2024-08-03 00:00:00,2024-08-04 00:00:00,2024-08-12 00:00:00,Delivered,PayPal,24.37,0.0,18.73,277.22,Phoenix,OH,USA
51,438,2023-04-10 00:00:00,2023-04-13 00:00:00,,Shipped,Google Pay,23.78,0.0,77.21,1066.06,San Jose,FL,USA
52,112,2023-11-23 00:00:00,,,Pending,Credit Card,7.46,0.0,348.05,4706.16,New York,NY,USA
53,1554,2024-10-20 00:00:00,,,Cancelled,Apple Pay,17.74,0.0,382.24,5178.04,Phoenix,CA,Canada
54,1976,2023-11-04 00:00:00,2023-11-07 00:00:00,,Shipped,Credit Card,9.3,0.0,203.64,2758.47,San Antonio,OH,Germany
55,1135,2023-08-29 00:00:00,2023-08-31 00:00:00,2023-09-09 00:00:00,Delivered,Apple Pay,10.28,0.0,61.3,837.8,Phoenix,NY,USA
56,811,2024-07-14 00:00:00,2024-07-16 00:00:00,2024-07-25 00:00:00,Delivered,Bank Transfer,5.98,12.14,119.32,1604.7,San Jose,OH,USA
57,1422,2024-05-04 00:00:00,,,Pending,Credit Card,21.03,13.27,40.87,559.46,San Jose,FL,UK
58,1651,2024-10-19 00:00:00,2024-10-22 00:00:00,2024-10-26 00:00:00,Delivered,Apple Pay,8.28,0.0,396.05,5355.01,San Jose,TX,Canada
59,1002,2023-09-05 00:00:00,2023-09-06 00:00:00,2023-09-10 00:00:00,Delivered,Apple Pay,18.8,0.0,843.01,11399.48,Houston,IL,USA
60,436,2024-11-29 00:00:00,2024-11-30 00:00:00,2024-12-08 00:00:00,Delivered,Debit Card,10.78,43.43,346.51,4645.29,New York,FL,USA
61,660,2023-09-03 00:00:00,2023-09-05 00:00:00,2023-09-14 00:00:00,Delivered,Bank Transfer,12.52,0.0,120.33,1637.01,San Antonio,OH,USA
62,383,2023-09-22 00:00:00,2023-09-24 00:00:00,2023-10-03 00:00:00,Delivered,Bank Transfer,23.37,0.0,14.23,215.45,New York,TX,USA
63,327,2023-08-18 00:00:00,,,Cancelled,Credit Card,22.35,0.0,402.14,5451.26,Phoenix,NC,USA
64,280,2023-09-02 00:00:00,2023-09-03 00:00:00,2023-09-06 00:00:00,Delivered,Credit Card,10.03,0.0,187.93,2547.14,Philadelphia,FL,USA
65,867,2024-09-23 00:00:00,2024-09-24 00:00:00,2024-09-28 00:00:00,Delivered,PayPal,15.33,10.62,248.33,3357.2,Dallas,IL,USA
66,1014,2024-11-06 00:00:00,2024-11-09 00:00:00,2024-11-19 00:00:00,Delivered,Bank Transfer,7.99,0.0,600.35,8112.68,Houston,PA,USA
67,990,2023-12-06 00:00:00,2023-12-07 00:00:00,,Shipped,Apple Pay,11.57,17.1,32.02,426.79,Dallas,NY,USA
68,118,2024-03-29 00:00:00,2024-03-31 00:00:00,,Shipped,Credit Card,16.37,0.0,69.88,959.76,Philadelphia,PA,USA
69,414,2024-07-18 00:00:00,2024-07-19 00:00:00,2024-07-21 00:00:00,Delivered,PayPal,5.08,0.0,23.63,324.11,San Antonio,IL,USA
70,504,2023-08-07 00:00:00,2023-08-08 00:00:00,2023-08-16 00:00:00,Delivered,Debit Card,24.86,0.0,48.61,681.05,Los Angeles,PA,USA
71,1872,2023-05-12 00:00:00,,,Pending,Debit Card,13.99,0.0,4.84,79.39,San Jose,NY,Australia
72,1924,2023-03-19 00:00:00,2023-03-22 00:00:00,,Shipped,Apple Pay,15.12,0.0,340.6,4613.17,San Diego,NY,Germany
73,823,2023-11-02 00:00:00,,,Pending,Credit Card,5.57,0.0,246.08,3327.64,Los Angeles,NC,USA
74,425,2024-07-25 00:00:00,2024-07-26 00:00:00,,Shipped,PayPal,9.76,0.0,249.5,3378.0,Dallas,CA,USA
75,1259,2023-11-17 00:00:00,2023-11-20 00:00:00,2023-11-30 00:00:00,Delivered,Bank Transfer,20.92,14.38,118.3,1603.56,Dallas,MI,UK
76,1688,2023-02-08 00:00:00,,,Pending,Apple Pay,20.82,2.68,427.08,5783.75,Chicago,GA,Canada
77,554,2023-01-19 00:00:00,2023-01-21 00:00:00,,Shipped,Debit Card,20.63,0.0,13.01,196.22,Chicago,CA,USA
78,877,2024-04-09 00:00:00,2024-04-10 00:00:00,,Shipped,Apple Pay,12.43,0.0,184.84,2507.81,San Diego,OH,USA
79,1701,2023-06-13 00:00:00,2023-06-14 00:00:00,2023-06-19 00:00:00,Delivered,PayPal,19.13,25.42,73.96,992.15,San Jose,MI,Canada
80,1300,2024-02-18 00:00:00,2024-02-20 00:00:00,2024-02-23 00:00:00,Delivered,PayPal,10.65,0.0,589.53,7969.29,Philadelphia,MI,UK
81,1219,2024-05-12 00:00:00,2024-05-13 00:00:00,2024-05-23 00:00:00,Delivered,Bank Transfer,23.51,0.0,12.85,197.0,Philadelphia,PA,UK
82,1578,2024-08-07 00:00:00,,,Pending,Bank Transfer,19.97,0.0,82.16,1129.14,New York,CA,Canada
83,569,2024-09-04 00:00:00,2024-09-06 00:00:00,2024-09-16 00:00:00,Delivered,Google Pay,13.54,0.0,528.92,7153.99,Chicago,IL,USA
84,1821,2023-11-19 00:00:00,2023-11-20 00:00:00,,Shipped,Bank Transfer,22.34,0.0,229.42,3119.5,San Diego,OH,Australia
85,426,2023-05-27 00:00:00,2023-05-29 00:00:00,,Shipped,Google Pay,10.93,37.27,365.97,4914.3,San Diego,IL,USA
86,527,2024-01-26 00:00:00,2024-01-27 00:00:00,2024-01-30 00:00:00,Delivered,Bank Transfer,8.14,0.0,217.16,2939.79,Los Angeles,NY,USA
87,1914,2024-06-30 00:00:00,2024-07-03 00:00:00,2024-07-06 00:00:00,Delivered,Debit Card,11.59,46.64,223.37,2980.42,Los Angeles,CA,Germany
88,516,2023-01-17 00:00:00,2023-01-20 00:00:00,2023-01-23 00:00:00,Delivered,Bank Transfer,8.65,0.0,276.12,3736.31,New York,IL,USA
89,1432,2023-06-17 00:00:00,2023-06-18 00:00:00,2023-06-28 00:00:00,Delivered,Apple Pay,19.06,0.0,254.72,3457.72,San Antonio,MI,UK
90,615,2023-06-26 00:00:00,2023-06-28 00:00:00,2023-07-06 00:00:00,Delivered,Bank Transfer,19.3,0.0,102.01,1396.45,Houston,GA,USA
91,1007,2023-03-07 00:00:00,,,Cancelled,Debit Card,20.49,0.0,350.62,4753.88,Philadelphia,NY,USA
92,420,2024-04-06 00:00:00,,,Cancelled,Credit Card,17.86,0.0,159.1,2165.76,Dallas,NY,USA
93,676,2024-11-04 00:00:00,,,Cancelled,Credit Card,24.45,19.4,367.37,4964.5,Dallas,NC,USA
94,788,2024-12-15 00:00:00,2024-12-18 00:00:00,2024-12-23 00:00:00,Delivered,Apple Pay,18.96,32.12,20.35,261.58,Chicago,TX,USA
95,627,2024-04-23 00:00:00,,,Cancelled,Apple Pay,24.45,0.0,64.8,899.28,Phoenix,OH,USA
96,51,2024-11-26 00:00:00,2024-11-29 00:00:00,,Shipped,PayPal,13.57,0.0,147.09,1999.31,Philadelphia,IL,USA
97,1162,2024-02-01 00:00:00,2024-02-04 00:00:00,2024-02-14 00:00:00,Delivered,Apple Pay,9.83,31.04,125.89,1678.26,New York,NY,USA
98,316,2023-07-26 00:00:00,2023-07-27 00:00:00,,Shipped,Google Pay,6.01,0.0,231.22,3127.48,Phoenix,FL,USA
99,1803,2023-05-25 00:00:00,2023-05-26 00:00:00,,Shipped,PayPal,12.68,4.95,14.23,199.81,Los Angeles,PA,Australia
100,730,2023-11-23 00:00:00,,,Pending,PayPal,18.69,0.0,412.85,5592.19,Dallas,OH,USA
101,677,2024-05-26 00:00:00,,,Cancelled,PayPal,23.94,0.0,52.24,729.18,San Jose,PA,USA
102,1820,2024-05-20 00:00:00,2024-05-21 00:00:00,,Shipped,PayPal,24.82,23.51,501.44,6770.8,Dallas,OH,Australia
103,12,2023-01-08 00:00:00,2023-01-10 00:00:00,2023-01-20 00:00:00,Delivered,Apple Pay,13.93,0.0,226.23,3067.98,Houston,PA,USA
104,1656,2024-06-27 00:00:00,2024-06-29 00:00:00,2024-07-01 00:00:00,Delivered,PayPal,12.15,0.0,146.6,1991.26,San Jose,PA,Canada
105,523,2023-11-29 00:00:00,2023-11-30 00:00:00,2023-12-04 00:00:00,Delivered,PayPal,22.84,0.0,399.31,5413.57,Houston,MI,USA
106,141,2024-06-08 00:00:00,,,Pending,Debit Card,23.66,40.08,77.57,1030.83,Chicago,PA,USA
107,413,2024-06-25 00:00:00,2024-06-28 00:00:00,,Shipped,PayPal,24.96,38.78,118.67,1588.2,Chicago,NY,USA
108,1681,2024-04-26 00:00:00,2024-04-29 00:00:00,2024-05-02 00:00:00,Delivered,Apple Pay,14.05,0.0,64.47,884.34,Chicago,OH,Canada
109,398,2023-02-16 00:00:00,2023-02-18 00:00:00,2023-02-22 00:00:00,Delivered,Apple Pay,23.33,0.0,367.33,4982.25,Chicago,NY,USA
110,125,2023-06-27 00:00:00,2023-06-30 00:00:00,2023-07-07 00:00:00,Delivered,Bank Transfer,19.63,0.0,94.64,1297.25,Chicago,CA,USA
111,1096,2023-08-17 00:00:00,2023-08-20 00:00:00,2023-08-26 00:00:00,Delivered,Credit Card,19.93,33.4,343.36,4621.83,Phoenix,PA,USA
112,1196,2024-03-19 00:00:00,2024-03-22 00:00:00,2024-03-31 00:00:00,Delivered,Google Pay,16.93,0.0,196.24,2666.23,Philadelphia,IL,USA
113,1798,2024-05-13 00:00:00,2024-05-15 00:00:00,2024-05-22 00:00:00,Delivered,Credit Card,24.8,0.0,194.87,2655.52,Los Angeles,MI,Australia
114,430,2024-01-07 00:00:00,2024-01-10 00:00:00,,Shipped,Credit Card,10.41,15.89,35.77,477.43,New York,PA,USA
115,951,2023-07-29 00:00:00,2023-07-31 00:00:00,,Shipped,Google Pay,20.04,0.0,186.78,2541.51,San Jose,FL,USA
116,1995,2023-01-15 00:00:00,2023-01-17 00:00:00,,Shipped,Google Pay,17.8,0.0,53.06,734.1,Los Angeles,TX,Germany
117,515,2024-11-24 00:00:00,2024-11-26 00:00:00,2024-12-06 00:00:00,Delivered,Apple Pay,5.9,0.0,348.46,4710.13,Chicago,GA,USA
118,3,2023-06-22 00:00:00,2023-06-24 00:00:00,2023-06-28 00:00:00,Delivered,Credit Card,18.01,0.0,95.56,1308.13,Phoenix,FL,USA
119,1642,2023-08-27 00:00:00,2023-08-29 00:00:00,2023-09-08 00:00:00,Delivered,PayPal,17.01,0.0,9.36,143.43,Phoenix,NC,Canada
120,1067,2023-10-15 00:00:00,2023-10-17 00:00:00,2023-10-22 00:00:00,Delivered,Google Pay,21.89,11.37,17.7,249.42,New York,NC,USA
121,1524,2024-03-26 00:00:00,,,Pending,Apple Pay,14.42,0.0,215.1,2918.29,Houston,TX,Canada
122,743,2024-09-16 00:00:00,2024-09-17 00:00:00,,Shipped,Bank Transfer,18.13,44.97,83.39,1098.95,Houston,CA,USA
123,548,2024-12-04 00:00:00,,,Cancelled,Bank Transfer,19.43,25.04,452.26,6099.91,Houston,TX,USA
124,265,2024-09-12 00:00:00,2024-09-15 00:00:00,,Shipped,Google Pay,15.4,0.0,224.36,3044.24,Houston,GA,USA
125,1651,2023-10-11 00:00:00,2023-10-14 00:00:00,2023-10-22 00:00:00,Delivered,Debit Card,8.18,0.0,160.94,2180.84,San Jose,TX,Canada
126,345,2024-03-15 00:00:00,2024-03-18 00:00:00,2024-03-25 00:00:00,Delivered,Google Pay,19.45,0.0,22.46,322.67,San Jose,NY,USA
127,1550,2023-10-14 00:00:00,2023-10-16 00:00:00,2023-10-24 00:00:00,Delivered,Credit Card,21.77,25.82,83.62,1124.85,San Jose,OH,Canada
128,1740,2024-03-30 00:00:00,2024-04-02 00:00:00,2024-04-04 00:00:00,Delivered,Bank Transfer,12.68,29.52,112.76,1505.43,Philadelphia,IL,Canada
129,1980,2024-10-19 00:00:00,2024-10-21 00:00:00,2024-10-24 00:00:00,Delivered,Credit Card,24.63,0.0,114.5,1570.41,Chicago,MI,Germany
130,960,2024-07-07 00:00:00,,,Cancelled,Apple Pay,7.99,0.0,378.19,5113.55,San Antonio,NC,USA
131,1687,2024-01-06 00:00:00,2024-01-09 00:00:00,,Shipped,Google Pay,11.25,0.0,26.0,362.29,San Jose,PA,Canada
132,1713,2023-01-24 00:00:00,2023-01-25 00:00:00,,Shipped,Debit Card,9.71,0.0,22.93,319.23,Chicago,NY,Canada
133,451,2024-10-31 00:00:00,,,Pending,Google Pay,7.38,0.0,342.9,4636.5,Dallas,IL,USA
134,56,2023-06-05 00:00:00,2023-06-06 00:00:00,2023-06-15 00:00:00,Delivered,Credit Card,18.59,0.0,133.92,1826.46,Dallas,MI,USA
135,1451,2024-03-14 00:00:00,2024-03-16 00:00:00,,Shipped,Bank Transfer,22.46,0.0,394.29,5345.41,Dallas,OH,UK
136,1307,2024-04-03 00:00:00,2024-04-06 00:00:00,2024-04-16 00:00:00,Delivered,Apple Pay,10.61,0.0,104.04,1415.17,San Antonio,CA,UK
137,1190,2023-11-27 00:00:00,2023-11-28 00:00:00,2023-12-07 00:00:00,Delivered,Debit Card,13.41,0.0,81.9,1119.01,San Jose,NC,USA
138,1216,2024-06-21 00:00:00,2024-06-24 00:00:00,2024-07-04 00:00:00,Delivered,Debit Card,17.49,22.62,326.36,4400.67,San Diego,MI,UK
139,948,2024-06-10 00:00:00,2024-06-12 00:00:00,2024-06-15 00:00:00,Delivered,Google Pay,11.41,0.0,119.46,1624.07,San Antonio,GA,USA
140,1190,2023-11-06 00:00:00,2023-11-09 00:00:00,,Shipped,Bank Transfer,24.75,0.0,132.29,1810.61,San Jose,NC,USA
141,800,2023-06-21 00:00:00,2023-06-24 00:00:00,,Shipped,Apple Pay,9.2,25.59,188.94,2534.27,Chicago,NC,USA
142,421,2024-06-21 00:00:00,2024-06-22 00:00:00,2024-06-24 00:00:00,Delivered,Debit Card,18.7,0.0,358.64,4860.29,San Diego,NY,USA
143,488,2024-08-30 00:00:00,2024-09-02 00:00:00,,Shipped,Bank Transfer,7.18,31.58,159.75,2132.24,San Jose,TX,USA
144,1235,2023-01-29 00:00:00,2023-02-01 00:00:00,,Shipped,Google Pay,6.76,0.0,4.13,62.51,Los Angeles,OH,UK
145,205,2023-06-08 00:00:00,,,Cancelled,Bank Transfer,15.46,0.0,301.34,4083.61,Houston,MI,USA
146,1606,2023-04-11 00:00:00,,,Cancelled,Credit Card,20.34,0.0,104.02,1424.66,Dallas,CA,Canada
147,1329,2024-05-15 00:00:00,2024-05-17 00:00:00,2024-05-25 00:00:00,Delivered,Google Pay,19.31,0.0,237.47,3225.11,Phoenix,IL,UK
148,76,2023-05-02 00:00:00,2023-05-04 00:00:00,2023-05-08 00:00:00,Delivered,Google Pay,9.39,0.0,36.12,497.03,New York,FL,USA
149,1137,2023-05-28 00:00:00,2023-05-31 00:00:00,,Shipped,Bank Transfer,17.13,13.75,38.36,521.25,Chicago,NC,USA
150,1048,2024-11-09 00:00:00,2024-11-12 00:00:00,,Shipped,Credit Card,11.08,0.0,56.82,778.21,Dallas,PA,USA
151,497,2024-12-31 00:00:00,2025-01-01 00:00:00,,Shipped,Google Pay,13.41,0.0,168.52,2288.43,Los Angeles,PA,USA
152,1258,2024-02-28 00:00:00,,,Cancelled,Debit Card,20.66,0.0,67.14,927.03,Houston,TX,UK
153,693,2023-12-29 00:00:00,,,Pending,Debit Card,5.27,0.0,68.38,928.42,San Jose,OH,USA
154,1515,2023-04-14 00:00:00,2023-04-17 00:00:00,2023-04-22 00:00:00,Delivered,Bank Transfer,7.0,0.0,423.1,5718.82,Phoenix,MI,Canada
155,88,2024-11-28 00:00:00,2024-11-30 00:00:00,,Shipped,Credit Card,18.52,6.35,423.04,5723.15,New York,TX,USA
156,1075,2024-05-04 00:00:00,2024-05-07 00:00:00,2024-05-13 00:00:00,Delivered,PayPal,19.22,2.24,784.88,10612.9,Dallas,OH,USA
157,1043,2024-07-04 00:00:00,2024-07-05 00:00:00,2024-07-08 00:00:00,Delivered,Apple Pay,11.23,0.0,212.12,2874.9,Los Angeles,TX,USA
158,1948,2023-02-22 00:00:00,2023-02-23 00:00:00,2023-02-28 00:00:00,Delivered,Credit Card,24.56,0.0,37.4,529.46,Phoenix,CA,Germany
159,407,2024-02-15 00:00:00,,,Cancelled,Apple Pay,24.81,31.39,289.16,3897.11,San Diego,CA,USA
160,1678,2024-06-30 00:00:00,2024-07-03 00:00:00,2024-07-05 00:00:00,Delivered,Apple Pay,16.66,0.0,9.93,150.75,San Antonio,TX,Canada
161,1266,2024-04-02 00:00:00,,,Cancelled,Debit Card,6.07,0.0,171.75,2324.74,Dallas,CA,UK
162,1309,2023-11-06 00:00:00,2023-11-08 00:00:00,2023-11-16 00:00:00,Delivered,Google Pay,15.25,48.82,305.34,4088.55,Los Angeles,TX,UK
163,1660,2023-10-28 00:00:00,2023-10-29 00:00:00,2023-11-06 00:00:00,Delivered,PayPal,19.51,0.0,428.28,5801.31,Philadelphia,CA,Canada
164,1668,2023-01-23 00:00:00,2023-01-25 00:00:00,2023-01-30 00:00:00,Delivered,Apple Pay,23.75,0.0,24.58,355.63,New York,TX,Canada
165,448,2024-05-25 00:00:00,,,Cancelled,PayPal,18.24,0.0,37.54,525.02,Philadelphia,GA,USA
166,1193,2024-05-25 00:00:00,2024-05-27 00:00:00,,Shipped,Bank Transfer,19.13,45.5,51.53,669.24,Chicago,TX,USA
167,302,2024-11-09 00:00:00,,,Pending,Google Pay,9.67,0.0,43.45,596.22,Los Angeles,MI,USA
168,1586,2023-08-02 00:00:00,2023-08-03 00:00:00,2023-08-06 00:00:00,Delivered,Bank Transfer,11.63,0.0,834.65,11279.36,Houston,TX,Canada
169,1356,2023-11-08 00:00:00,2023-11-09 00:00:00,2023-11-14 00:00:00,Delivered,Bank Transfer,8.5,42.73,18.83,220.02,Houston,TX,UK
170,764,2023-03-12 00:00:00,,,Cancelled,Google Pay,11.94,0.0,248.33,3364.45,San Diego,FL,USA
171,507,2024-08-20 00:00:00,2024-08-22 00:00:00,,Shipped,Debit Card,5.48,0.0,338.75,4578.58,Philadelphia,NC,USA
172,615,2023-10-26 00:00:00,2023-10-28 00:00:00,,Shipped,Bank Transfer,19.18,0.0,115.43,1577.54,Houston,GA,USA
173,251,2023-12-20 00:00:00,2023-12-23 00:00:00,,Shipped,PayPal,10.67,31.36,542.06,7297.09,New York,IL,USA
174,1518,2024-09-16 00:00:00,2024-09-18 00:00:00,2024-09-21 00:00:00,Delivered,Debit Card,13.84,0.0,552.62,7474.21,San Jose,FL,Canada
175,1839,2023-06-19 00:00:00,2023-06-22 00:00:00,2023-06-25 00:00:00,Delivered,Bank Transfer,13.09,0.0,241.86,3278.23,New York,NY,Australia
176,1709,2023-10-21 00:00:00,2023-10-22 00:00:00,2023-10-28 00:00:00,Delivered,Apple Pay,21.76,0.0,595.81,8065.2,San Jose,PA,Canada
177,1432,2023-03-01 00:00:00,2023-03-04 00:00:00,2023-03-09 00:00:00,Delivered,PayPal,18.88,0.0,178.61,2430.13,San Antonio,MI,UK
178,53,2023-05-12 00:00:00,2023-05-15 00:00:00,2023-05-23 00:00:00,Delivered,Debit Card,10.77,0.0,85.02,1158.49,New York,IL,USA
179,1989,2023-07-26 00:00:00,2023-07-27 00:00:00,2023-08-04 00:00:00,Delivered,Bank Transfer,24.23,0.0,568.43,7698.06,Houston,PA,Germany
180,61,2024-08-11 00:00:00,2024-08-14 00:00:00,,Shipped,Apple Pay,21.38,44.53,320.29,4300.76,San Jose,GA,USA
181,773,2024-04-08 00:00:00,,,Pending,Apple Pay,7.46,0.0,601.42,8126.67,Houston,IL,USA
182,848,2024-03-21 00:00:00,2024-03-22 00:00:00,2024-03-26 00:00:00,Delivered,Debit Card,24.95,0.0,190.99,2603.33,San Diego,NC,USA
183,570,2023-06-28 00:00:00,2023-06-29 00:00:00,2023-07-03 00:00:00,Delivered,Debit Card,7.67,0.0,198.81,2691.63,New York,FL,USA
184,551,2024-09-20 00:00:00,,,Cancelled,Debit Card,5.79,0.0,156.0,2111.79,Houston,NY,USA
185,1486,2024-03-24 00:00:00,2024-03-27 00:00:00,,Shipped,PayPal,9.41,0.0,445.18,6019.31,San Diego,GA,UK
